model,n_periods,coverage_error_mean,coverage_error_std,breach_rate_mean,breach_rate_std,cvar_mean,cvar_std,pinball_mean,pinball_std,rmse_mean,rmse_std,mae_mean,mae_std,kupiec_pass_rate,christoffersen_cc_pass_rate
GARCH,72,0.022992240468635666,0.012384642097721466,0.07299224046863567,0.012384642097721481,-0.030053229769691776,0.007659304422732471,0.0018628529640031999,0.000503461482331486,0.030853665008491207,0.008572965112201472,0.02415338682908345,0.005302147458724147,0.625,0.5
LSTM,69,0.023844182864045837,0.05073872790155228,0.0738441828640458,0.05073872790155233,-0.03655207042089276,0.024748696673242577,0.005464209167732119,0.00672499611154463,0.11305278922984563,0.16603373132653645,0.09064853617894472,0.14203812362324644,0.10144927536231885,0.11594202898550725
Transformer,72,-0.03203311214354348,0.06145235863342647,0.017966887856456497,0.06145235863342647,-0.08056614208035168,0.0594860206902812,0.01143806824014362,0.025972883024040435,0.2267232939031803,0.5205170725223178,0.223602691380721,0.5210225737804016,0.041666666666666664,0.013888888888888888
